statement_num	rFavor	dFavor	pFavor
"T6e_W1"	3.0	1.0	1.0
"T6e_W10"	3.0	1.0	1.0
"T6e_W11"	2.0	1.0	3.0
"T6e_W12"	1.0	1.0	1.0
"T6e_W2"	2.0	1.0	3.0
"T6e_W3"	1.0	1.0	1.0
"T6e_W4"	2.0	1.0	3.0
"T6e_W5"	1.0	1.0	1.0
"T6e_W6"	2.0	3.0	2.0
"T6e_W7"	2.0	1.0	3.0
"T6e_W8"	1.0	1.0	1.0
"T6e_W9"	2.0	3.0	2.0
"T7e_W1"	3.0	1.0	1.0
"T7e_W10"	1.0	1.0	1.0
"T7e_W11"	3.0	1.0	1.0
"T7e_W12"	1.0	1.0	1.0
"T7e_W2"	2.0	1.0	3.0
"T7e_W3"	3.0	1.0	1.0
"T7e_W4"	3.0	1.0	1.0
"T7e_W5"	1.0	1.0	1.0
"T7e_W6"	2.0	3.0	2.0
"T7e_W7"	3.0	1.0	1.0
"T7e_W8"	1.0	1.0	1.0
"T7e_W9"	1.0	1.0	1.0
"T8e_W1"	2.0	2.0	2.0
"T8e_W10"	1.0	1.0	1.0
"T8e_W11"	1.0	1.0	1.0
"T8e_W12"	3.0	1.0	1.0
"T8e_W2"	2.0	1.0	3.0
"T8e_W3"	3.0	1.0	1.0
"T8e_W4"	2.0	3.0	2.0
"T8e_W5"	2.0	3.0	2.0
"T8e_W6"	3.0	1.0	1.0
"T8e_W7"	3.0	1.0	1.0
"T8e_W8"	2.0	1.0	3.0
"T8e_W9"	1.0	1.0	1.0
"T9e_W1"	2.0	1.0	3.0
"T9e_W10"	3.0	3.0	3.0
"T9e_W11"	2.0	1.0	3.0
"T9e_W12"	1.0	1.0	1.0
"T9e_W2"	2.0	1.0	3.0
"T9e_W3"	2.0	3.0	2.0
"T9e_W4"	1.0	1.0	1.0
"T9e_W5"	3.0	1.0	1.0
"T9e_W6"	2.0	1.0	3.0
"T9e_W7"	3.0	1.0	1.0
"T9e_W8"	1.0	1.0	1.0
"T9e_W9"	1.0	1.0	1.0
